provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BU,2021-10-13,10,burgos,10.8,0.8,0.0,790
BU,2021-10-14,5,burgos,10.8,0.8,0.0,790
BU,2021-10-15,13,burgos,12.4,1.1,0.0,790
BU,2021-10-16,9,burgos,10.8,0.8,1.8,790
BU,2021-10-17,8,burgos,13.8,1.1,0.0,790
BU,2021-10-18,17,burgos,13.6,0.8,0.0,790
BU,2021-10-19,19,burgos,17.2,0.8,0.0,790
BU,2021-10-20,19,burgos,17.5,2.5,0.0,790
BU,2021-10-21,12,burgos,11.4,1.4,0.0,790
BU,2021-10-22,8,burgos,9.4,1.7,0.0,790
BU,2021-10-23,11,burgos,6.8,0.6,0.0,790
BU,2021-10-24,20,burgos,8.0,0.8,0.0,790
BU,2021-10-25,22,burgos,9.0,1.1,0.0,790
BU,2021-10-26,32,burgos,9.7,0.6,0.0,790
BU,2021-10-27,23,burgos,8.9,0.8,0.0,790
BU,2021-10-28,25,burgos,9.2,1.4,1.0,790
BU,2021-10-29,20,burgos,12.6,2.5,7.4,790
BU,2021-10-30,13,burgos,13.4,1.9,4.4,790
BU,2021-10-31,33,burgos,13.9,3.9,9.0,790
BU,2021-11-01,56,burgos,10.4,2.5,0.2,790
BU,2021-11-02,56,burgos,9.2,3.9,2.8,790
BU,2021-11-03,31,burgos,5.0,1.9,0.2,790
BU,2021-11-04,36,burgos,3.7,0.8,0.6,790
BU,2021-11-05,14,burgos,4.2,1.4,0.4,790
BU,2021-11-06,26,burgos,3.8,2.8,0.0,790
BU,2021-11-07,25,burgos,5.5,2.5,0.0,790
BU,2021-11-08,47,burgos,9.4,2.2,0.0,790
BU,2021-11-09,39,burgos,6.6,1.9,0.0,790
BU,2021-11-10,49,burgos,5.5,1.1,0.0,790
BU,2021-11-11,41,burgos,4.2,0.6,0.0,790
BU,2021-11-12,23,burgos,5.5,1.4,0.0,790
BU,2021-11-13,30,burgos,3.0,0.6,0.0,790
BU,2021-11-14,45,burgos,4.4,1.7,0.0,790
BU,2021-11-15,43,burgos,5.8,2.2,0.0,790
BU,2021-11-16,61,burgos,4.2,1.9,0.0,790
BU,2021-11-17,75,burgos,4.0,1.7,0.0,790
BU,2021-11-18,54,burgos,3.9,1.4,0.0,790
BU,2021-11-19,55,burgos,7.3,1.9,0.0,790
BU,2021-11-20,28,burgos,7.7,1.9,0.0,790
BU,2021-11-21,75,burgos,5.6,0.8,0.0,790
BU,2021-11-22,73,burgos,2.6,1.7,12.4,790
BU,2021-11-23,112,burgos,2.3,0.6,13.4,790
BU,2021-11-24,115,burgos,1.8,1.9,0.4,790
BU,2021-11-25,85,burgos,4.2,2.2,0.0,790
BU,2021-11-26,50,burgos,4.4,1.9,0.0,790
BU,2021-11-27,52,burgos,2.2,2.2,3.2,790
BU,2021-11-28,113,burgos,2.2,3.1,0.0,790
BU,2021-11-29,116,burgos,6.2,1.7,0.0,790
BU,2021-11-30,150,burgos,3.2,0.6,0.0,790
BU,2021-12-01,156,burgos,2.3,1.4,4.2,790
BU,2021-12-02,130,burgos,3.0,2.8,0.0,790
BU,2021-12-03,129,burgos,4.0,1.7,0.0,790
BU,2021-12-04,88,burgos,7.8,2.8,0.2,790
BU,2021-12-05,84,burgos,3.3,2.5,0.0,790
BU,2021-12-06,129,burgos,3.8,2.2,2.2,790
BU,2021-12-07,109,burgos,8.1,4.2,2.6,790
BU,2021-12-08,212,burgos,3.8,3.3,0.0,790
BU,2021-12-09,162,burgos,5.6,3.9,0.0,790
BU,2021-12-10,178,burgos,8.8,3.6,0.0,790
BU,2021-12-11,166,burgos,7.6,1.1,0.0,790
BU,2021-12-12,166,burgos,5.0,0.6,0.0,790
BU,2021-12-13,263,burgos,1.8,1.1,0.0,790
BU,2021-12-14,218,burgos,3.4,0.6,0.0,790
BU,2021-12-15,345,burgos,4.4,0.8,0.0,790
BU,2021-12-16,190,burgos,6.2,1.9,0.4,790
BU,2021-12-17,202,burgos,6.4,2.2,0.0,790
BU,2021-12-18,196,burgos,3.5,0.6,0.0,790
BU,2021-12-19,316,burgos,5.0,1.7,0.0,790
BU,2021-12-20,365,burgos,3.6,1.1,0.0,790
BU,2021-12-21,610,burgos,9.0,0.6,0.0,790
BU,2021-12-22,409,burgos,9.0,1.9,0.0,790
BU,2021-12-23,214,burgos,8.0,1.7,1.0,790
BU,2021-12-24,626,burgos,7.1,0.6,0.0,790
BU,2021-12-25,1032,burgos,6.4,0.6,2.6,790
BU,2021-12-26,1322,burgos,9.4,1.7,10.8,790
BU,2021-12-27,1369,burgos,10.2,3.3,0.0,790
BU,2021-12-28,1477,burgos,10.2,3.1,0.0,790
BU,2021-12-29,627,burgos,8.8,0.8,0.0,790
BU,2021-12-30,276,burgos,8.0,1.4,0.0,790
BU,2021-12-31,517,burgos,7.0,0.8,0.0,790
BU,2022-01-01,1523,burgos,7.4,1.4,0.0,790
BU,2022-01-02,2078,burgos,7.6,1.1,0.0,790
BU,2022-01-03,2385,burgos,8.8,1.1,0.0,790
BU,2022-01-04,525,burgos,7.3,3.1,3.0,790
BU,2022-01-05,1753,burgos,2.0,1.1,9.2,790
BU,2022-01-06,614,burgos,-0.9,0.8,0.0,790
BU,2022-01-07,606,burgos,2.2,1.4,0.0,790
BU,2022-01-08,2084,burgos,1.3,0.8,0.0,790
BU,2022-01-09,2095,burgos,7.0,3.3,0.0,790
BU,2022-01-10,1896,burgos,7.5,1.7,0.0,790
BU,2022-01-11,2250,burgos,6.7,2.8,0.0,790
BU,2022-01-12,1294,burgos,2.7,0.6,0.0,790
BU,2022-01-13,743,burgos,2.3,1.9,0.0,790
BU,2022-01-14,888,burgos,1.4,1.7,0.0,790
BU,2022-01-15,1412,burgos,0.0,0.8,0.0,790
BU,2022-01-16,1439,burgos,0.1,0.8,0.0,790
BU,2022-01-17,1009,burgos,-1.3,0.6,0.0,790
BU,2022-01-18,1357,burgos,0.8,0.8,0.0,790
BU,2022-01-19,1152,burgos,1.6,0.8,0.0,790
BU,2022-01-20,554,burgos,2.2,2.2,0.0,790
BU,2022-01-21,609,burgos,-0.4,2.2,0.0,790
BU,2022-01-22,1110,burgos,0.0,1.1,0.0,790
BU,2022-01-23,837,burgos,0.8,0.8,0.0,790
BU,2022-01-24,896,burgos,2.0,1.9,0.0,790
BU,2022-01-25,733,burgos,2.9,1.4,0.0,790
BU,2022-01-26,684,burgos,4.2,2.8,0.0,790
BU,2022-01-27,333,burgos,3.9,1.7,0.0,790
BU,2022-01-28,329,burgos,2.2,0.6,0.0,790
BU,2022-01-29,685,burgos,3.1,0.8,0.0,790
BU,2022-01-30,470,burgos,3.6,0.6,0.0,790
BU,2022-01-31,496,burgos,1.1,2.8,0.0,790
BU,2022-02-01,448,burgos,3.4,2.8,0.0,790
BU,2022-02-02,278,burgos,6.8,0.8,0.0,790
BU,2022-02-03,176,burgos,5.6,0.6,0.0,790
BU,2022-02-04,179,burgos,4.4,0.8,0.0,790
BU,2022-02-05,334,burgos,2.6,1.7,0.0,790
BU,2022-02-06,294,burgos,1.2,0.8,0.0,790
BU,2022-02-07,14,burgos,3.8,1.4,0.0,790
